map01040	#d95847	W10
map00230	#f6a283	W10
map00030	#bb1b2c	W10
map00240	#edd1c2	W10
map00562	#b40426	W10
map02010	#dddcdc	W10
map00340	#f39577	W10
map00591	#bd1f2d	W10
map00350	#d95847	W10
map00130	#d95847	W10
map00730	#e57058	W10
map04022	#b40426	W10
C01595	#d1493f	W15
C01530	#b9d0f9	W15
C00219	#b40426	W15
C03242	#bd1f2d	W15
C16525	#ee8468	W15
C06429	#c32e31	W15
C16513	#f4987a	W15
C16527	#e16751	W15
C00262	#f29072	W15
C00064	#efcfbf	W15
C00242	#3b4cc0	W15
C00385	#b40426	W15
C00366	#3b4cc0	W15
C00212	#b40426	W15
C00294	#b40426	W15
C00387	#b40426	W15
C00020	#f7b194	W15
C00130	#b40426	W15
C00144	#b40426	W15
C00035	#ccd9ed	W15
C00002	#3b4cc0	W15
C00044	#80a3fa	W15
C00620	#b40426	W15
C00008	#445acc	W15
C00022	#d9dce1	W15
C00257	#9fbfff	W15
C00199	#b40426	W15
C00345	#b40426	W15
C05382	#d55042	W15
C00106	#edd2c3	W15
C00295	#6b8df0	W15
C00881	#b40426	W15
C00214	#b40426	W15
C00475	#f18d6f	W15
C00299	#d65244	W15
C00364	#84a7fc	W15
C00055	#d1493f	W15
C00105	#d0473d	W15
C00363	#3b4cc0	W15
C00112	#3b4cc0	W15
C00063	#3b4cc0	W15
C00029	#b1cbfc	W15
C02067	#f7b396	W15
C00015	#3b4cc0	W15
C00111	#b40426	W15
C00092	#b40426	W15
C00041	#b2ccfb	W15
C00116	#e2dad5	W15
C00065	#d5dbe5	W15
C00148	#d9dce1	W15
C00719	#4f69d9	W15
C00188	#7295f4	W15
C00245	#ead4c8	W15
C01157	#c7d7f0	W15
C00123	#dedcdb	W15
C00407	#ecd3c5	W15
C00077	#f08b6e	W15
C00049	#f1cdba	W15
C00047	#bfd3f6	W15
C00025	#bad0f8	W15
C00079	#a1c0ff	W15
C00093	#c5d6f2	W15
C00062	#dddcdc	W15
C00378	#e57058	W15
C00051	#8caffe	W15
C00255	#d1dae9	W15
C00114	#cdd9ec	W15
C01083	#3b4cc0	W15
C01152	#aec9fc	W15
C00386	#b40426	W15
C02835	#b40426	W15
C05828	#cd423b	W15
C00082	#cc403a	W15
C03964	#d95847	W15
C02477	#88abfd	W15
map00430	#bad0f8	W10
map00524	#b7cff9	W10
map04080	#ead4c8	W10
map00270	#d6dce4	W10
map00860	#97b8ff	W10
map00190	#3b4cc0	W10
map04068	#bad0f8	W10
C00519	#7295f4	W15
C05122	#b40426	W15
C00606	#3b4cc0	W15
C00043	#b3cdfb	W15
C00334	#e7745b	W15
C12270	#d65244	W15
C00263	#f6bea4	W15
C00979	#c7d7f0	W15
C00073	#dddcdc	W15
C02989	#8badfd	W15
C02291	#b40426	W15
C00021	#e0dbd8	W15
C00019	#d7dce3	W15
C00170	#a7c5fe	W15
