map00250	#f7b599	W10
map00230	#f7b497	W10
map02010	#ecd3c5	W10
map00410	#f6a586	W10
map00564	#f7b99e	W10
map04080	#bad0f8	W10
map00910	#f18d6f	W10
map00340	#f59f80	W10
map00480	#ecd3c5	W10
map00220	#f7b093	W10
map01040	#ebd3c6	W10
map00770	#f5c4ac	W10
map00740	#f7b396	W10
map00650	#f5c0a7	W10
C00022	#dedcdb	W15
C00041	#ead4c8	W15
C00334	#f29274	W15
C00152	#9ebeff	W15
C00049	#f7b599	W15
C00064	#f7af91	W15
C00025	#df634e	W15
C00158	#d3dbe7	W15
C03406	#f7b093	W15
C01042	#be242e	W15
C12270	#8caffe	W15
C00262	#f7b89c	W15
C00242	#f6bda2	W15
C00385	#c83836	W15
C00366	#b40426	W15
C00212	#b40426	W15
C00294	#d75445	W15
C00387	#e46e56	W15
C00020	#f7ad90	W15
C00130	#afcafc	W15
C00144	#ebd3c6	W15
C00035	#c6d6f1	W15
C00002	#bad0f8	W15
C00044	#cbd8ee	W15
C00620	#b40426	W15
C00008	#b1cbfc	W15
C00116	#d44e41	W15
C00065	#f4c6af	W15
C00148	#8db0fe	W15
C00719	#5572df	W15
C00188	#9dbdff	W15
C00245	#b9d0f9	W15
C01157	#3b4cc0	W15
C00123	#b9d0f9	W15
C00407	#b7cff9	W15
C00077	#3b4cc0	W15
C00047	#d1dae9	W15
C00079	#efcebd	W15
C00093	#ba162b	W15
C00062	#eb7d62	W15
C00881	#3d50c3	W15
C00475	#cad8ef	W15
C00299	#f7b093	W15
C00378	#f29072	W15
C00051	#ecd3c5	W15
C00255	#dedcdb	W15
C00114	#f7b99e	W15
C01083	#92b4fe	W15
C00106	#efcebd	W15
C00386	#b40426	W15
C00111	#f7b89c	W15
C00670	#b8122a	W15
C00570	#f5c0a7	W15
C00307	#ef886b	W15
C00346	#adc9fd	W15
C00015	#3b4cc0	W15
C01152	#94b6ff	W15
C02835	#3b4cc0	W15
C05828	#ee8468	W15
C01879	#e46e56	W15
C00072	#c3d5f4	W15
C00127	#f7b99e	W15
C00005	#9fbfff	W15
C00327	#3b4cc0	W15
C01595	#f4c6af	W15
C01530	#dddcdc	W15
C00219	#b40426	W15
C03242	#dddcdc	W15
C16525	#d3dbe7	W15
C06429	#e9785d	W15
C16513	#b3cdfb	W15
C16527	#f7a98b	W15
C00010	#f39778	W15
C00199	#b40426	W15
C00016	#e36b54	W15
C01089	#6282ea	W15
map00260	#82a6fb	W10
map00330	#94b6ff	W10
map00240	#8db0fe	W10
C00213	#3b4cc0	W15
C01026	#3b4cc0	W15
C00581	#3b4cc0	W15
C00263	#5e7de7	W15
C00078	#82a6fb	W15
C02291	#3b4cc0	W15
C00300	#ecd3c5	W15
C00791	#f7ba9f	W15
C02714	#3b4cc0	W15
C03771	#c5d6f2	W15
C02305	#5e7de7	W15
C00019	#94b6ff	W15
C00295	#7ea1fa	W15
C00214	#dddcdc	W15
C00364	#a3c2fe	W15
C00055	#88abfd	W15
C00105	#6a8bef	W15
C00363	#779af7	W15
C00112	#93b5fe	W15
C00063	#3b4cc0	W15
C00029	#cbd8ee	W15
C02067	#3b4cc0	W15
